Gene	sgRNA	D7_R1|beta	D7_R1|z	D7_R1|p-value	D7_R1|fdr	D7_R1|wald-p-value	D7_R1|wald-fdr	D7_R2|beta	D7_R2|z	D7_R2|p-value	D7_R2|fdr	D7_R2|wald-p-value	D7_R2|wald-fdr	PLX7_R1|beta	PLX7_R1|z	PLX7_R1|p-value	PLX7_R1|fdr	PLX7_R1|wald-p-value	PLX7_R1|wald-fdr	PLX7_R2|beta	PLX7_R2|z	PLX7_R2|p-value	PLX7_R2|fdr	PLX7_R2|wald-p-value	PLX7_R2|wald-fdr
MDM1	6	-0.20079	-2.5994	0.70577	0.97546	0.0093382	0.028065	-0.1611	-2.0963	0.83067	0.98512	0.036057	0.087077	-0.22065	-2.9191	0.59502	0.96253	0.0035108	0.012012	-0.16589	-2.091	0.7651	0.984	0.036524	0.088831
ATP6V0A2	3	-0.28913	-2.5593	0.47727	0.94068	0.010487	0.030827	-0.59385	-5.1023	0.085458	0.71033	3.35E-07	3.49E-06	-0.052731	-0.48762	0.87065	0.98983	0.62582	0.73415	-0.35249	-2.9778	0.30974	0.88326	0.0029029	0.01117
TRAP1	4	-0.24112	-2.4728	0.59356	0.9584	0.013406	0.037929	-0.1369	-1.42	0.91276	0.99225	0.15562	0.27181	-0.12864	-1.3645	0.8727	0.98983	0.1724	0.28325	0.056372	0.57537	0.49249	0.94282	0.56504	0.69657
C11orf16	4	0.20124	2.1893	0.1505	0.79185	0.028578	0.07046	0.21146	2.3056	0.11899	0.76166	0.021135	0.056681	0.2156	2.3884	0.17108	0.82749	0.01692	0.044228	0.25681	2.737	0.10692	0.7506	0.0062004	0.021031
ZNF727	3	0.045838	0.46529	0.48393	0.94079	0.64172	0.75116	-0.21815	-2.1852	0.65135	0.96417	0.028875	0.072884	-0.11516	-1.1784	0.91741	0.99357	0.23865	0.36331	-0.1157	-1.1378	0.92846	0.99689	0.25522	0.39502
PANX3	2	0.15236	1.2809	0.22806	0.85911	0.20023	0.32477	0.19214	1.6202	0.1434	0.79599	0.10518	0.20184	0.11857	1.0089	0.34892	0.90393	0.31301	0.44552	0.092482	0.7599	0.39204	0.91683	0.44731	0.59402
INSL4	4	-0.037734	-0.36306	0.75706	0.98213	0.71656	0.81024	0.043394	0.42154	0.45996	0.93045	0.67336	0.78258	0.14158	1.4164	0.29867	0.88983	0.15667	0.26355	0.040006	0.37451	0.54188	0.95182	0.70803	0.80645
FAM184A	3	-0.03658	-0.39016	0.7532	0.98152	0.69642	0.7944	-0.068485	-0.7303	0.84315	0.98861	0.46521	0.60627	-0.084008	-0.90589	0.97894	0.99912	0.36499	0.49999	-0.11318	-1.1798	0.93711	0.99769	0.23807	0.3758
MLH1	9	-0.25683	-4.4375	0.55271	0.94869	9.10E-06	6.62E-05	-0.27081	-4.6832	0.51041	0.94175	2.82E-06	2.43E-05	-0.1152	-2.0426	0.91723	0.99357	0.041095	0.091285	-0.2017	-3.4099	0.65654	0.97077	0.00064993	0.0031579
SLC2A8	4	-0.28503	-3.0249	0.48649	0.94112	0.0024869	0.0092583	-0.23131	-2.47	0.61415	0.9599	0.013511	0.039351	-0.29576	-3.2099	0.41627	0.92346	0.001328	0.005291	-0.25263	-2.6078	0.51663	0.94515	0.0091139	0.029023
NGFRAP1	2	-0.20924	-1.8052	0.68142	0.96974	0.071041	0.14533	-0.16377	-1.418	0.82188	0.98426	0.15619	0.27253	-0.10418	-0.91554	0.95292	0.99696	0.35991	0.49504	-0.37625	-3.1416	0.2724	0.86768	0.0016803	0.0070307
BOC	4	0.26404	3.0419	0.084907	0.6983	0.002351	0.0088276	0.19334	2.2226	0.14178	0.79403	0.026246	0.06747	0.1357	1.5774	0.31165	0.89574	0.11471	0.20695	0.057594	0.64083	0.48891	0.94281	0.52163	0.6591
OR52A1	2	-0.29364	-2.1157	0.46673	0.9387	0.034369	0.081664	-0.18684	-1.3617	0.74782	0.97531	0.1733	0.29488	0.15585	1.1847	0.26963	0.88983	0.23613	0.36042	-0.18332	-1.2908	0.71095	0.97801	0.19679	0.32504
TNPO3	4	-0.45422	-5.4368	0.20713	0.84308	5.43E-08	6.05E-07	-0.38138	-4.5853	0.28864	0.88513	4.53E-06	3.73E-05	-0.40431	-4.9154	0.23495	0.87636	8.86E-07	8.27E-06	-0.34746	-4.1097	0.3184	0.88817	3.96E-05	0.00028656
TIMM8A	2	-0.50388	-4.0818	0.15834	0.80186	4.47E-05	0.00027848	-0.44325	-3.6153	0.20408	0.85263	0.0003	0.0015456	-0.19603	-1.652	0.66453	0.97388	0.098544	0.18417	-0.23018	-1.853	0.5758	0.95639	0.063885	0.13817
FKBP5	5	-0.15389	-1.9641	0.84973	0.99176	0.04952	0.1094	-0.25441	-3.2309	0.55284	0.95162	0.0012341	0.0052304	-0.18578	-2.4123	0.69441	0.97619	0.015852	0.041926	-0.14197	-1.7658	0.84082	0.99088	0.077431	0.16021
RAB3GAP1	4	-0.90455	-10.926	0.016809	0.42907	8.65E-28	8.71E-26	-0.7185	-8.81	0.041036	0.57338	1.25E-18	5.72E-17	-0.60206	-7.5522	0.074034	0.71969	4.28E-14	1.32E-12	-0.60048	-7.2278	0.072209	0.69618	4.91E-13	1.74E-11
PLS1	4	-0.48944	-5	0.17164	0.81057	5.73E-07	5.32E-06	-0.6098	-6.1689	0.077421	0.69116	6.88E-10	1.12E-08	-0.52009	-5.4602	0.12111	0.77396	4.76E-08	5.82E-07	-0.42398	-4.196	0.20881	0.83878	2.72E-05	0.00020769
KLC1	2	-0.056822	-0.52272	0.82299	0.98892	0.60117	0.71941	0.050345	0.46495	0.43944	0.92629	0.64197	0.75777	0.13525	1.2601	0.31266	0.89574	0.20762	0.32702	0.11708	1.0708	0.33125	0.89293	0.28427	0.42712
NUBPL	3	-0.18361	-1.6822	0.75744	0.98213	0.092531	0.17959	-0.14284	-1.316	0.8925	0.99024	0.18819	0.31378	0.04944	0.47027	0.53283	0.94714	0.63816	0.7448	-0.13112	-1.1684	0.87605	0.995	0.24264	0.38088
NDUFB6	3	0.035094	0.38678	0.51524	0.94349	0.69892	0.79624	0.10921	1.2077	0.28688	0.88356	0.22716	0.3617	0.097969	1.0921	0.39812	0.9201	0.2748	0.40463	0.17133	1.8731	0.22128	0.84447	0.061058	0.13347
RNF11	3	0.087654	0.79454	0.36986	0.9144	0.42688	0.5674	-0.014972	-0.13496	0.65314	0.9645	0.89264	0.93556	0.008067	0.074318	0.6627	0.97368	0.94076	0.96219	-0.094759	-0.81991	0.99946	0.99991	0.41227	0.56008
THAP7	4	-0.12506	-1.4081	0.94263	0.99678	0.15912	0.27307	-0.09857	-1.1138	0.9494	0.99582	0.26536	0.40611	0.036091	0.41759	0.57334	0.95937	0.67625	0.77311	-0.051596	-0.56878	0.85163	0.99221	0.56951	0.70083
PIGV	6	-0.021572	-0.30467	0.70073	0.97399	0.76062	0.8417	-0.051049	-0.72089	0.77995	0.98112	0.47098	0.61196	-0.13049	-1.8648	0.86632	0.98983	0.062211	0.12726	-0.0078111	-0.10782	0.69895	0.97557	0.91414	0.94648
KLK14	3	-0.11668	-1.2074	0.97009	0.99833	0.22729	0.35733	-0.42442	-4.317	0.22741	0.86076	1.58E-05	0.00011298	-0.059606	-0.62781	0.89432	0.99104	0.53013	0.65408	-0.24059	-2.4122	0.54853	0.95182	0.015858	0.045765
C19orf10	3	0.018751	0.17823	0.56343	0.95293	0.85854	0.90961	-0.063248	-0.59892	0.82407	0.98436	0.54923	0.68185	-0.14604	-1.4024	0.81579	0.98694	0.16081	0.26856	-0.068292	-0.62663	0.90993	0.99671	0.5309	0.66737
VSTM2A	3	0.19745	2.0038	0.15578	0.79941	0.045091	0.10158	0.1046	1.0581	0.29753	0.88513	0.29002	0.43256	0.12125	1.2438	0.34288	0.90302	0.21356	0.33411	0.078911	0.77912	0.42844	0.92823	0.43591	0.58297
PNN	4	-0.22137	-2.4827	0.64718	0.96559	0.013039	0.037009	-0.30279	-3.3829	0.43504	0.92629	0.00071727	0.0032826	-0.21093	-2.4145	0.62238	0.96842	0.015758	0.041725	-0.31365	-3.394	0.38025	0.91344	0.00068879	0.0033116
ADAT1	3	0.12165	1.271	0.2903	0.88442	0.20374	0.32906	0.036377	0.37904	0.48066	0.93663	0.70466	0.80647	-0.10321	-1.0829	0.95625	0.9971	0.27884	0.4093	-0.002274	-0.023147	0.68033	0.97461	0.98153	0.9884
CXCR1	3	-0.1852	-1.5504	0.75252	0.98146	0.12106	0.22094	-0.29233	-2.4295	0.45942	0.93027	0.015121	0.043158	-0.35377	-3.0018	0.30853	0.89474	0.0026839	0.0095996	-0.32572	-2.5951	0.35652	0.90171	0.0094551	0.029905
MYBPHL	5	-0.098515	-1.0774	0.96737	0.99833	0.28129	0.41886	0.055245	0.61375	0.42531	0.92419	0.53938	0.67337	-0.09484	-1.0657	0.98476	0.99918	0.28656	0.41722	-0.13513	-1.4176	0.86291	0.99452	0.15631	0.27429
ENTPD7	2	-0.29019	-2.1789	0.47476	0.94012	0.029339	0.071919	-0.28107	-2.1166	0.48517	0.93732	0.034291	0.083551	-0.27915	-2.1483	0.452	0.92983	0.031693	0.074122	-0.22398	-1.6394	0.59295	0.95957	0.10112	0.19659
KIF15	4	-0.10704	-1.126	0.99666	0.99953	0.26016	0.39509	-0.40364	-4.1458	0.25546	0.87449	3.39E-05	0.00022429	-0.37073	-3.9193	0.28184	0.88983	8.88E-05	0.00050239	-0.20684	-2.0848	0.64186	0.9677	0.037083	0.089954
ODAM	2	0.50083	3.2323	0.0094035	0.35686	0.0012279	0.0050636	0.45736	2.9484	0.011723	0.3653	0.0031947	0.011802	0.44824	2.9444	0.023342	0.5173	0.003236	0.011204	0.47844	2.9954	0.014191	0.45651	0.0027409	0.010608
CDHR2	4	-0.12955	-1.4176	0.92768	0.99661	0.15632	0.26919	-0.098507	-1.0824	0.94918	0.99582	0.27908	0.42147	-0.40347	-4.4318	0.23601	0.87702	9.35E-06	6.89E-05	-0.26948	-2.8204	0.47511	0.94044	0.0047961	0.016963
KIAA2013	4	-0.0051064	-0.057814	0.64586	0.96519	0.9539	0.9726	-0.08264	-0.9327	0.89321	0.99024	0.35097	0.49716	-0.02402	-0.27655	0.77281	0.98181	0.78213	0.85389	-0.063637	-0.69946	0.89359	0.99602	0.48427	0.62759
GLT6D1	3	0.042473	0.36892	0.49346	0.94316	0.71219	0.80671	-0.073819	-0.63631	0.86181	0.98901	0.52457	0.66018	0.19222	1.7248	0.20606	0.85605	0.084566	0.16268	0.035405	0.29719	0.55574	0.95182	0.76632	0.8486
SERGEF	2	-0.34883	-2.4181	0.3573	0.91043	0.015601	0.043096	-0.72737	-4.8299	0.03882	0.56122	1.37E-06	1.25E-05	-0.71469	-4.9336	0.03727	0.60167	8.07E-07	7.62E-06	-0.32764	-2.1826	0.35317	0.90051	0.029062	0.07433
CHEK1	4	-1.2605	-14.144	0.0023652	0.22637	2.02E-45	9.79E-43	-1.0342	-11.93	0.0063724	0.29443	8.30E-33	1.76E-30	-0.73435	-8.8776	0.032953	0.56947	6.83E-19	3.89E-17	-0.68736	-7.9055	0.041621	0.60216	2.67E-15	1.35E-13
MCCD1	3	-0.27157	-2.4443	0.51756	0.94349	0.014514	0.040514	-0.22615	-2.0481	0.62875	0.9626	0.040545	0.095699	-0.3494	-3.2081	0.31588	0.89574	0.001336	0.0053107	-0.42442	-3.6217	0.20831	0.83878	0.00029269	0.0016126
RP4-805N21.1	5	0.029376	0.35333	0.53161	0.94466	0.72384	0.81515	0.020011	0.24099	0.53145	0.94502	0.80957	0.8812	-0.11587	-1.4097	0.91504	0.99336	0.15862	0.26609	-0.05843	-0.67855	0.87593	0.995	0.49743	0.63861
ARHGEF6	4	-0.045374	-0.48221	0.78318	0.98403	0.62965	0.74153	-0.064065	-0.68129	0.82709	0.98471	0.49569	0.63456	-0.15189	-1.6391	0.79774	0.98399	0.1012	0.18793	0.028236	0.29316	0.57876	0.95755	0.7694	0.8506
CHPF	6	0.11875	1.6472	0.29645	0.88471	0.099512	0.18969	0.05817	0.8053	0.4168	0.92001	0.42065	0.56581	0.29741	4.2236	0.085987	0.74093	2.40E-05	0.00015915	0.24652	3.3721	0.11708	0.76454	0.000746	0.0035453
12-Sep	3	-0.025668	-0.26681	0.71517	0.9772	0.78962	0.86196	-0.054062	-0.56193	0.79088	0.98188	0.57417	0.70205	-0.10349	-1.0878	0.9551	0.9971	0.2767	0.40685	-0.0060315	-0.061535	0.69338	0.97541	0.95093	0.96952
GRAMD4	3	0.42672	3.7449	0.01767	0.43361	0.00018049	0.00095298	0.29394	2.5619	0.052919	0.61447	0.010411	0.031689	0.2941	2.61	0.088478	0.74093	0.0090541	0.026502	0.23027	1.9356	0.13498	0.78521	0.052918	0.11908
RPF2	2	-0.13479	-0.91348	0.91084	0.99475	0.36099	0.50245	-0.20757	-1.4002	0.68343	0.96862	0.16144	0.27962	-0.083957	-0.58772	0.97882	0.99912	0.55672	0.67616	0.11314	0.75879	0.34108	0.89855	0.44798	0.59454
TRIP13	3	-0.52902	-4.8423	0.13754	0.77534	1.28E-06	1.12E-05	-0.36817	-3.4309	0.30989	0.88684	0.00060152	0.0028151	-0.30284	-2.9017	0.40165	0.92119	0.003711	0.012591	-0.38229	-3.4216	0.26376	0.86089	0.00062255	0.0030453
SYT10	4	-0.13318	-1.3933	0.91574	0.99475	0.16354	0.27892	-0.0053117	-0.056248	0.62087	0.96002	0.95514	0.97464	0.017482	0.18902	0.63168	0.96987	0.85008	0.90092	0.00079073	0.0081111	0.67027	0.97297	0.99353	0.99601
C3orf75	3	-0.1866	-1.7553	0.74834	0.98146	0.079202	0.1585	-0.2273	-2.1362	0.62575	0.96207	0.032665	0.080331	-0.33799	-3.218	0.33531	0.90002	0.0012907	0.0051554	-0.42475	-3.7943	0.20801	0.83878	0.00014806	0.00089491
PIGP	3	-0.33857	-3.3576	0.37634	0.91981	0.00078621	0.0034401	-0.13566	-1.3659	0.91676	0.99264	0.17196	0.29335	-0.47501	-4.7714	0.15777	0.81844	1.83E-06	1.59E-05	-0.38125	-3.657	0.26507	0.86089	0.00025516	0.0014342
CAPRIN2	3	-0.16721	-1.8148	0.80769	0.98655	0.069556	0.14298	-0.39802	-4.2791	0.26415	0.87663	1.88E-05	0.00013208	-0.36082	-3.9372	0.29742	0.88983	8.24E-05	0.00047078	-0.39032	-4.1068	0.25254	0.85914	4.01E-05	0.00028979
LMO3	6	0.076483	1.1172	0.39799	0.92957	0.26389	0.39933	0.14597	2.142	0.21374	0.85516	0.032195	0.079535	0.14362	2.1322	0.2946	0.88983	0.032988	0.076646	0.096146	1.379	0.3825	0.91344	0.16789	0.28898
MAP2K2	4	0.01641	0.16039	0.57126	0.9541	0.87258	0.91878	-0.06096	-0.59338	0.81563	0.98426	0.55293	0.68491	-0.21363	-2.1038	0.61456	0.96729	0.035396	0.081105	-0.049397	-0.46428	0.84381	0.9909	0.64245	0.75818
PRDM2	5	0.19592	2.5595	0.15777	0.80186	0.010481	0.030824	0.21145	2.768	0.11899	0.76166	0.0056406	0.01906	0.15795	2.0893	0.26564	0.88983	0.036684	0.08354	0.16588	2.122	0.23058	0.84788	0.033839	0.083538
HCRTR1	5	0.019506	0.23081	0.56108	0.95239	0.81746	0.88115	-0.1299	-1.5226	0.93699	0.99413	0.12785	0.23443	-0.071417	-0.85867	0.93567	0.99543	0.39052	0.52481	-0.12278	-1.39	0.90474	0.99618	0.16454	0.28472
NPR2	3	-0.31339	-3.0544	0.42508	0.93697	0.002255	0.0085096	-0.21169	-2.0823	0.6706	0.96795	0.037316	0.089532	-0.34499	-3.4295	0.32323	0.89605	0.0006048	0.0026861	-0.16303	-1.5633	0.77417	0.984	0.11798	0.22117
PFDN1	2	-0.52741	-4.1849	0.13878	0.77839	2.85E-05	0.00018675	-0.49988	-3.9848	0.14831	0.80254	6.75E-05	0.00041488	-0.56615	-4.5925	0.092095	0.74093	4.38E-06	3.49E-05	-0.62761	-4.7551	0.060704	0.66897	1.98E-06	2.05E-05
MYO19	3	-0.46732	-5.1043	0.19329	0.83419	3.32E-07	3.20E-06	-0.29886	-3.2933	0.44384	0.92667	0.00099036	0.0043203	-0.56693	-6.2554	0.091613	0.74093	3.97E-10	6.94E-09	-0.57715	-6.133	0.083426	0.71166	8.63E-10	1.82E-08
CHMP4B	3	-0.27378	-2.3825	0.51241	0.94349	0.017196	0.046758	-0.15625	-1.376	0.84674	0.98869	0.16882	0.28922	-0.20176	-1.81	0.64821	0.97214	0.07029	0.14027	-0.33789	-2.8257	0.335	0.89421	0.0047175	0.01674
TMEM238	2	-0.22706	-1.4113	0.63187	0.96217	0.15815	0.27175	-0.04614	-0.29343	0.76251	0.97925	0.76919	0.85298	-0.10288	-0.66911	0.95744	0.99723	0.50343	0.62997	-0.21545	-1.2797	0.61681	0.96399	0.20066	0.33003
LYZL1	2	-0.0032903	-0.024299	0.63978	0.96341	0.98061	0.98948	-0.013437	-0.099362	0.64772	0.96334	0.92085	0.95292	0.58039	4.5057	0.0084046	0.38325	6.62E-06	5.06E-05	0.46319	3.4509	0.016212	0.46399	0.00055875	0.0027753
C4orf47	4	-0.48395	-4.273	0.17673	0.81829	1.93E-05	0.00013058	-0.45954	-4.0852	0.18659	0.84511	4.40E-05	0.00028318	-0.51362	-4.7008	0.12601	0.78281	2.59E-06	2.17E-05	-0.49856	-4.1652	0.13378	0.78521	3.11E-05	0.00023367
RIN2	4	0.15846	1.6588	0.21672	0.85041	0.097151	0.18619	0.18792	1.9749	0.14895	0.80378	0.048279	0.10979	0.31824	3.4268	0.072025	0.71668	0.00061066	0.0027059	0.31022	3.1989	0.066031	0.67421	0.0013795	0.0059613
CYP27C1	6	-0.10039	-1.3029	0.97401	0.99833	0.1926	0.31513	-0.12171	-1.5803	0.96682	0.99726	0.11403	0.21507	0.13972	1.8789	0.30262	0.89029	0.060263	0.12409	-0.047549	-0.60157	0.83681	0.98975	0.54746	0.68159
FRMD5	4	-0.16349	-1.5713	0.81923	0.9882	0.11612	0.21381	-0.050063	-0.48723	0.77676	0.98107	0.62609	0.74414	-0.1715	-1.6932	0.73685	0.97851	0.090417	0.17155	-0.17041	-1.5772	0.75125	0.98399	0.11474	0.21668
TAF12	5	-0.79904	-8.3544	0.030231	0.52393	6.58E-17	2.31E-15	-0.69076	-7.356	0.047948	0.59928	1.90E-13	5.04E-12	-0.3747	-4.254	0.27631	0.88983	2.10E-05	0.00014239	-0.47584	-4.9568	0.15345	0.80215	7.17E-07	8.23E-06
SUV420H2	4	0.15707	1.8256	0.21898	0.85076	0.067917	0.1404	-0.06933	-0.79704	0.84616	0.98865	0.42543	0.57009	-0.17335	-2.0145	0.73207	0.97851	0.043953	0.096413	-0.099643	-1.1129	0.98305	0.99969	0.26575	0.40652
THAP8	4	0.16074	1.8531	0.21249	0.84482	0.06387	0.13386	0.21475	2.4861	0.1156	0.75586	0.012917	0.037912	0.14354	1.6788	0.29476	0.88983	0.093199	0.17586	0.15516	1.7503	0.24982	0.85813	0.080061	0.1642
SERPINA4	4	-0.064529	-0.67853	0.85031	0.99176	0.49744	0.63115	0.068074	0.72418	0.38955	0.91463	0.46895	0.60983	0.014078	0.15208	0.64333	0.97214	0.87912	0.92068	0.13136	1.3641	0.29842	0.87534	0.17253	0.29478
RDH13	6	0.10015	1.4135	0.33969	0.90443	0.15752	0.27088	0.12136	1.7174	0.26094	0.87663	0.085911	0.17294	0.11026	1.5814	0.36795	0.90718	0.11379	0.20561	0.19778	2.7489	0.1782	0.82028	0.0059787	0.020392
STAG2	2	0.25071	2.1684	0.096355	0.70885	0.030131	0.07351	0.090185	0.77583	0.33149	0.89419	0.43785	0.5811	0.10939	0.95228	0.37011	0.9085	0.34096	0.47502	-0.038556	-0.32273	0.80502	0.98786	0.7469	0.83468
TBX19	5	0.054111	0.63948	0.46015	0.9387	0.52251	0.65292	0.052626	0.62307	0.43276	0.92629	0.53324	0.66778	0.022751	0.274	0.61544	0.96774	0.78408	0.85528	0.12708	1.4685	0.30809	0.8825	0.14196	0.25467
ESPN	4	0.16473	1.5747	0.20526	0.84028	0.11533	0.21273	0.30551	2.9588	0.046972	0.59796	0.0030887	0.011474	0.17202	1.6849	0.23992	0.88013	0.092008	0.17413	0.41617	3.9447	0.024892	0.53002	7.99E-05	0.00052616
ATP11A	4	0.1001	0.99587	0.33978	0.90443	0.31931	0.45964	0.28065	2.8336	0.060888	0.64632	0.0046023	0.016079	0.14101	1.4379	0.30001	0.88983	0.15047	0.25534	0.42879	4.2592	0.021965	0.50608	2.05E-05	0.00016242
COLEC11	11	-0.014693	-0.28467	0.67756	0.96974	0.7759	0.85186	0.003417	0.066358	0.58796	0.95538	0.94709	0.96981	0.027074	0.53346	0.60156	0.96402	0.59372	0.70793	0.027322	0.52001	0.58156	0.95758	0.60306	0.72842
DENND2D	3	0.25366	2.583	0.093794	0.70622	0.0097941	0.029148	0.07576	0.76589	0.36884	0.90848	0.44374	0.58639	0.19749	2.0333	0.19751	0.8515	0.042025	0.09285	0.32491	3.2624	0.058086	0.66436	0.0011048	0.0049472
SLMO2	2	-0.93404	-7.7148	0.014352	0.41118	1.21E-14	3.32E-13	-0.79797	-6.6846	0.025581	0.49955	2.32E-11	4.60E-10	-0.88669	-7.5449	0.013227	0.4351	4.53E-14	1.39E-12	-1.0508	-8.2394	0.004386	0.31967	1.73E-16	1.10E-14
COL19A1	2	-0.034548	-0.27079	0.74627	0.98124	0.78656	0.85981	-0.062192	-0.48744	0.82039	0.98426	0.62594	0.74407	0.0099178	0.079424	0.65673	0.97218	0.9367	0.95927	0.06975	0.53682	0.4537	0.93552	0.59139	0.71968
ZNF703	3	0.11985	1.1936	0.29389	0.88471	0.23265	0.36401	0.29332	2.95	0.053378	0.61535	0.0031773	0.011751	0.1875	1.9011	0.21324	0.86248	0.05729	0.11918	0.33207	3.2816	0.054584	0.6581	0.001032	0.0046742
GBF1	4	-0.062308	-0.69051	0.84261	0.99176	0.48987	0.62427	-0.062895	-0.69823	0.8228	0.98426	0.48503	0.62473	-0.14526	-1.6337	0.81831	0.98694	0.10231	0.18937	-0.10042	-1.0806	0.98032	0.99969	0.27989	0.42241
ABCB8	4	-0.094708	-1.0961	0.95359	0.99772	0.27303	0.40989	-0.0099768	-0.11621	0.63622	0.96334	0.90748	0.94506	0.02623	0.31049	0.60396	0.96402	0.75619	0.83479	-0.058971	-0.66795	0.87782	0.995	0.50417	0.64427
MAP3K9	4	0.064637	0.66583	0.43056	0.93698	0.50552	0.63736	0.24852	2.5982	0.083943	0.70885	0.0093705	0.029044	0.074802	0.78808	0.46045	0.93172	0.43065	0.56169	0.046449	0.4631	0.52187	0.94757	0.6433	0.75898
HSPA8	4	-1.4199	-14.42	0.00099891	0.17196	3.89E-47	2.19E-44	-1.107	-11.764	0.0042023	0.25442	6.01E-32	1.14E-29	-0.74758	-8.468	0.030002	0.54895	2.50E-17	1.18E-15	-0.71409	-7.6034	0.035237	0.5785	2.89E-14	1.26E-12
SDC3	4	-0.11213	-1.2019	0.98633	0.99867	0.2294	0.36003	-0.12049	-1.2933	0.97097	0.99747	0.19591	0.32386	-0.15026	-1.6419	0.80286	0.98471	0.1006	0.1871	-0.29687	-3.034	0.41463	0.92276	0.0024137	0.00956
TARBP2	4	-0.2894	-3.4029	0.47659	0.94068	0.00066669	0.0029754	-0.33556	-3.9412	0.36879	0.90848	8.11E-05	0.00048908	-0.30044	-3.5927	0.40653	0.92212	0.00032722	0.0015789	-0.32372	-3.7089	0.36048	0.90452	0.00020812	0.0012004
DERL2	3	-0.29879	-2.8788	0.4551	0.9387	0.0039914	0.013778	-0.36393	-3.4959	0.3168	0.88879	0.00047245	0.0022847	-0.15913	-1.5805	0.77488	0.98192	0.114	0.20592	-0.067047	-0.6398	0.90575	0.9963	0.5223	0.65964
KRT20	2	-0.08971	-0.62455	0.93648	0.99666	0.53227	0.66197	-0.083623	-0.58394	0.8965	0.99048	0.55926	0.69056	-0.084513	-0.60431	0.98053	0.99912	0.54564	0.66712	-0.14953	-0.99578	0.81695	0.98899	0.31936	0.46615
CLIC1	3	-0.099109	-0.98592	0.96948	0.99833	0.32417	0.46517	-0.20824	-2.0606	0.68134	0.96862	0.039341	0.093438	-0.20879	-2.1028	0.62806	0.96842	0.03548	0.081266	-0.32704	-3.1072	0.35421	0.90051	0.0018886	0.0077844
DNMT3L	3	0.0037516	0.041003	0.61295	0.96137	0.96729	0.98166	-0.047753	-0.52144	0.76825	0.97973	0.60206	0.7244	-0.037058	-0.40887	0.81758	0.98694	0.68264	0.77825	-0.079167	-0.84834	0.94777	0.99861	0.39625	0.54438
VAX2	6	0.052979	0.66044	0.46322	0.9387	0.50897	0.6404	-0.0039504	-0.049133	0.61643	0.9599	0.96081	0.97787	0.11729	1.5009	0.35174	0.90426	0.13338	0.23222	0.12356	1.5044	0.31599	0.88618	0.13247	0.24157
CCIN	2	-0.087321	-0.67643	0.92795	0.99661	0.49877	0.63227	-0.14686	-1.135	0.87868	0.98949	0.25639	0.39589	0.088762	0.70832	0.42238	0.92383	0.47875	0.60734	0.039151	0.29795	0.54445	0.95182	0.76574	0.84834
MAGEB10	2	-0.12791	-0.84112	0.93321	0.99661	0.40028	0.54181	-0.27821	-1.8052	0.49212	0.94004	0.071045	0.14936	-0.030358	-0.20724	0.79471	0.98373	0.83583	0.89124	0.10269	0.66666	0.36655	0.90735	0.50499	0.64499
HTATSF1	3	-0.43481	-4.4437	0.22939	0.85982	8.84E-06	6.46E-05	-0.57006	-5.7814	0.098536	0.73032	7.41E-09	1.03E-07	-0.49991	-5.1917	0.13684	0.80114	2.08E-07	2.23E-06	-0.47729	-4.7274	0.1522	0.80115	2.27E-06	2.32E-05
SNX15	3	-0.59226	-6.0107	0.096171	0.70863	1.85E-09	2.60E-08	-0.51295	-5.2465	0.13734	0.78803	1.55E-07	1.71E-06	-0.54649	-5.6836	0.10379	0.75396	1.32E-08	1.80E-07	-0.53007	-5.2485	0.11096	0.75811	1.53E-07	2.04E-06
C13orf33	4	-0.2732	-2.9278	0.5137	0.94349	0.0034138	0.012064	-0.44768	-4.7339	0.19898	0.85123	2.20E-06	1.94E-05	-0.32361	-3.5423	0.36069	0.90634	0.00039669	0.0018706	-0.54441	-5.4497	0.10175	0.74185	5.05E-08	7.46E-07
POU1F1	4	0.011964	0.14075	0.58548	0.95733	0.88806	0.92981	-0.036148	-0.42481	0.72688	0.97247	0.67098	0.78076	-0.036897	-0.43981	0.81713	0.98694	0.66007	0.76145	-0.08277	-0.94636	0.96043	0.99877	0.34396	0.49204
TRIM34	6	0.10504	1.3922	0.32835	0.89929	0.16387	0.27942	0.099477	1.3203	0.30929	0.88684	0.18675	0.31189	0.028251	0.38004	0.59799	0.96331	0.70391	0.79439	-0.025432	-0.32414	0.75973	0.984	0.74583	0.83381
PHACTR3	6	-0.23457	-3.1831	0.61128	0.96128	0.001457	0.0058451	-0.33564	-4.5303	0.36864	0.90848	5.89E-06	4.71E-05	-0.32659	-4.4998	0.35541	0.90512	6.80E-06	5.17E-05	-0.12014	-1.6013	0.91422	0.99672	0.1093	0.20879
LENG8	4	-0.29194	-3.1011	0.47041	0.9387	0.0019281	0.0074454	-0.10537	-1.1388	0.97399	0.99747	0.25478	0.39406	-0.26643	-2.9078	0.48106	0.93708	0.0036397	0.012385	-0.20801	-2.1524	0.63834	0.96722	0.031365	0.078769
SLC25A38	2	0.16604	1.2773	0.2032	0.83992	0.2015	0.32638	0.049209	0.37641	0.44284	0.92667	0.70661	0.8078	0.18401	1.4421	0.21914	0.86561	0.14928	0.25374	0.04475	0.33263	0.52707	0.94885	0.73942	0.82934
